# Pulse programs cited in doc/ppcatalogue-2.pdf (Parella, NMRGuide Vol. II, TopSpin 3.0)
# columns: pulseprogram  parameterset(as printed in catalogue, '-' if not given)
b_hncacbgp3d	B_HNCACBGP3D
trhncacoetgp4d	-
trhncacogp2h3d	TRHNCACOGP2H3D
trhncacogp2h4d	-
trhncacogp3d	TRHNCACOGP3D
trhncacogp4d	-
trhncaetgp2h3d	TRHNCAETGP2H3D
trhncaetgp3d	TRHNCAETGP3D
trhncagp2h3d	TRHNCAGP2H3D
trhncagp2h3d2	TRHNCAGP2H3D2
trhncagp3d	TRHNCAGP3D
trhncagp3d.2	TRHNCAGP3D.2
trhncagp3d2	TRHNCAGP3D2
trhncagp3d2.2	TRHNCAGP3D2.2
trhncagprc3d1	-
trhncaietgp2h3d	-
trhncaietgp3d	TRHNCAIETGP3D
trhncaigp2h3d	TRHNCAIGP2H3D
trhncaigp3d	TRHNCAIGP3D
trhncannhetgp2h3d	-
trhncannhetgp2h3d.2	-
trhncannhetgp3d	-
trhncannhetgp3d.2	-
trhncannhgp2h3d	-
trhncannhgp2h3d.2	-
trhncannhgp3d	-
trhncannhgp3d.2	-
trhncocacbetgp2h3d	-
trhncocacbetgp3d	TRHNCOCACBETGP3D
trhncocacbgp2h3d	TRHNCOCACBGP2H3D
trhncocacbgp3d	TRHNCOCACBGP3D
trhncocaetgp2h3d	-
trhncocaetgp2h4d	-
trhncocaetgp3d	TRHNCOCAETGP3D
trhncocaetgp4d	-
trhncocagp2h3d	TRHNCOCAGP2H3D
trhncocagp2h4d	-
trhncocagp3d	TRHNCOCAGP3D
trhncocagp4d	-
trhncocannhetgp2h3d	-
trhncocannhetgp2h3d.2	-
trhncocannhetgp3d	-
trhncocannhetgp3d.2	-
trhncocannhgp2h3d	-
trhncocannhgp2h3d.2	-
trhncocannhgp3d	-
trhncocannhgp3d.2	-
trhncoetgp3d	TRHNCOETGP3D
trhncogp2h3d	TRHNCOGP2H3D
trhncogp3d	TRHNCOGP3D
trhncogphb3d	-
trhncogprc3d1	TRHNCOGRPC3D1
trhncogprc3d2	TRHNCOGRPC3D2
trhncogprc3d3	TRHNCOGRPC3D3
trhncogprc3d4	TRHNCOGRPC3D4
trhncogprc3d5	TRHNCOGRPC3D5
trhncogprc3d6	TRHNCOGRPC3D6
trhncogprc3d7	-
trhncorexf3gp	-
trhncot1f3gp	-
trhncot2f3gp	-
trhncotrf3gp	-
trnoef3gpsi	TRNOEF3GPSI
trrexetf3gpsi3d	-
trt1etf3gpsi	TRT1ETF3GPSI
trt1etf3gpsi3d	-
trt1etf3gpsi3d.2	-
trt2etf3gpsi	TRT2ETF3GPSI
trt2etf3gpsi3d	-
trtretf3gpsi3d	-
